id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Мода;Частота;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;Тест Граббса;p_value
0;4;6411;814;150;420.573;3.758;7.098;5.359;1.601;1.739;0.138;5.341;5.273;5.203;4.375;2;4347.689;3.341;4.626;6.09;0.718;-0.007;-1.109;0.848;0.159;0.03;0.0;1.0
0;2;6401;814;151;408.603;3.809;7.059;5.377;1.568;1.682;0.113;5.345;5.287;5.229;5.581;2;4350.802;3.25;4.653;6.004;0.604;-0.027;-1.131;0.777;0.145;0.027;0.0;1.0
0;0;6393;814;176;405.807;3.51;6.319;4.923;1.413;1.396;-0.017;4.882;4.83;4.778;4.098;2;3974.143;2.808;4.274;5.483;0.498;-0.052;-1.111;0.706;0.145;0.025;0.0;1.0
0;2;6355;814;161;415.944;2.778;5.056;3.843;1.065;1.213;0.148;3.829;3.784;3.738;3.279;2;3116.628;2.278;3.311;4.337;0.342;0.026;-1.211;0.585;0.153;0.02;0.0;1.0
0;2;6354;814;166;412.157;3.599;6.569;4.96;1.362;1.608;0.247;4.989;4.931;4.873;4.594;2;4060.818;2.97;4.361;5.65;0.566;0.025;-1.119;0.752;0.151;0.026;0.0;1.0
0;2;6346;814;162;399.895;3.758;6.544;5.069;1.311;1.475;0.164;5.126;5.075;5.023;5.076;2;4172.849;2.786;4.553;5.725;0.522;0.02;-1.043;0.722;0.141;0.025;0.0;1.0
1;0;6333;814;154;436.006;3.621;6.771;5.006;1.384;1.765;0.381;5.029;4.965;4.901;3.91;2;4093.605;3.15;4.317;5.724;0.636;0.071;-1.183;0.797;0.159;0.028;0.0;1.0
0;0;6332;814;148;408.169;3.38;6.398;4.86;1.48;1.537;0.057;4.85;4.787;4.724;3.719;2;3947.574;3.018;4.17;5.518;0.593;-0.018;-1.149;0.77;0.159;0.027;0.0;1.0
0;4;6330;814;155;406.29;2.845;5.279;4.019;1.174;1.26;0.086;4.039;3.992;3.945;2.845;1;3287.964;2.434;3.544;4.536;0.378;0.088;-1.095;0.614;0.152;0.022;0.0;1.0
0;0;6328;814;157;399.783;3.767;7.003;5.33;1.563;1.673;0.11;5.347;5.288;5.229;5.46;2;4352.724;3.237;4.68;6.005;0.625;0.06;-1.077;0.791;0.148;0.028;0.0;1.0
0;4;6328;814;151;432.563;3.674;6.704;5.129;1.455;1.576;0.121;5.178;5.116;5.053;3.954;2;4214.983;3.031;4.518;5.875;0.632;-0.026;-1.114;0.795;0.154;0.028;0.0;1.0
0;2;6324;814;166;420.651;3.237;6.023;4.454;1.217;1.569;0.352;4.495;4.445;4.395;4.374;2;3658.757;2.786;3.981;5.055;0.447;0.123;-1.033;0.668;0.149;0.023;0.0;1.0
1;0;6323;814;158;401.038;3.169;6.047;4.549;1.381;1.497;0.116;4.491;4.434;4.375;5.4;2;3656.071;2.878;3.923;5.027;0.509;-0.04;-1.002;0.713;0.159;0.025;0.0;1.0
0;2;6318;814;166;401.373;3.633;6.67;5.038;1.405;1.632;0.227;5.028;4.968;4.907;4.154;2;4093.059;3.037;4.352;5.664;0.605;0.058;-1.137;0.778;0.155;0.027;0.0;1.0
0;4;6318;814;148;409.777;3.194;6.184;4.745;1.552;1.439;-0.113;4.696;4.632;4.567;3.194;1;3822.533;2.99;4.056;5.328;0.578;-0.128;-1.118;0.76;0.162;0.027;0.0;1.0
0;0;6317;814;171;416.064;3.478;6.328;4.851;1.373;1.477;0.104;4.855;4.801;4.745;3.885;2;3951.997;2.851;4.278;5.457;0.521;-0.005;-1.091;0.722;0.149;0.025;0.0;1.0
0;2;6301;814;169;396.361;2.859;5.371;3.997;1.137;1.374;0.237;4.061;4.012;3.964;3.533;2;3305.834;2.511;3.526;4.607;0.396;0.134;-1.138;0.629;0.155;0.022;0.0;1.0
0;4;6300;814;157;411.694;3.644;7.031;5.252;1.607;1.779;0.172;5.235;5.164;5.092;4.471;2;4261.618;3.387;4.5;5.963;0.737;0.011;-1.184;0.858;0.164;0.03;0.0;1.0
0;2;6284;814;148;397.047;3.566;6.822;5.132;1.565;1.691;0.125;5.15;5.082;5.015;4.149;2;4191.734;3.256;4.406;5.861;0.684;0.03;-1.165;0.827;0.161;0.029;0.0;1.0
0;4;6278;814;159;414.591;3.682;6.819;5.19;1.508;1.629;0.121;5.208;5.149;5.089;5.146;2;4239.511;3.136;4.539;5.891;0.612;0.01;-1.151;0.783;0.15;0.027;0.0;1.0
0;4;6273;814;160;410.619;2.945;5.385;4.268;1.323;1.117;-0.206;4.233;4.189;4.145;4.409;2;3445.298;2.44;3.738;4.708;0.356;-0.148;-0.99;0.597;0.141;0.021;0.0;1.0
0;4;6257;814;157;401.268;3.459;6.265;4.842;1.384;1.422;0.038;4.833;4.778;4.722;4.842;2;3933.931;2.806;4.203;5.408;0.528;0.037;-1.088;0.726;0.15;0.025;0.0;1.0
0;0;6248;814;157;408.994;3.009;5.64;4.242;1.234;1.398;0.164;4.255;4.204;4.153;3.966;2;3463.544;2.632;3.708;4.813;0.427;0.031;-1.088;0.654;0.154;0.023;0.0;1.0
0;2;6247;814;166;396.361;3.883;7.473;5.621;1.738;1.852;0.113;5.597;5.523;5.448;6.28;2;4556.299;3.59;4.781;6.385;0.817;-0.021;-1.183;0.904;0.161;0.032;0.0;1.0
0;4;6244;814;155;414.458;3.492;6.676;5.084;1.592;1.592;-0.0;5.073;5.01;4.946;3.492;1;4129.165;3.184;4.404;5.739;0.633;0.064;-1.123;0.795;0.157;0.028;0.0;1.0
0;0;6242;814;176;407.682;3.034;5.537;4.378;1.344;1.159;-0.185;4.328;4.28;4.23;4.333;2;3523.305;2.503;3.808;4.873;0.413;-0.057;-1.127;0.643;0.149;0.023;0.0;1.0
0;4;6242;814;169;417.391;3.481;6.335;4.865;1.384;1.47;0.086;4.878;4.825;4.772;5.55;2;3970.286;2.854;4.293;5.515;0.508;0.034;-1.13;0.713;0.146;0.025;0.0;1.0
0;2;6242;814;168;403.381;3.689;6.96;5.356;1.667;1.603;-0.064;5.313;5.244;5.174;3.689;1;4324.771;3.271;4.612;6.074;0.712;-0.07;-1.122;0.844;0.159;0.03;0.0;1.0
1;0;6242;814;173;401.405;3.626;6.678;5.027;1.401;1.651;0.25;5.032;4.975;4.917;3.944;2;4096.255;3.052;4.364;5.688;0.572;0.038;-1.216;0.756;0.15;0.027;0.0;1.0
0;2;6241;814;151;398.954;3.61;6.734;5.093;1.483;1.641;0.158;5.101;5.045;4.988;5.442;2;4152.303;3.124;4.479;5.72;0.564;0.01;-1.043;0.751;0.147;0.026;0.0;1.0
1;2;6239;814;159;417.484;3.461;6.411;4.916;1.455;1.496;0.041;4.863;4.803;4.742;4.415;2;3958.702;2.95;4.194;5.495;0.58;0.014;-1.172;0.762;0.157;0.027;0.0;1.0
1;4;6237;814;151;396.232;3.513;6.61;5.1;1.586;1.511;-0.075;5.043;4.977;4.91;3.513;1;4105.066;3.097;4.368;5.733;0.651;-0.033;-1.112;0.807;0.16;0.028;0.0;1.0
0;2;6229;814;169;435.118;2.807;5.047;3.85;1.043;1.197;0.153;3.871;3.828;3.785;2.807;1;3151.303;2.24;3.354;4.376;0.336;0.118;-1.232;0.58;0.15;0.02;0.0;1.0
0;2;6223;814;163;407.276;3.372;6.115;4.617;1.246;1.498;0.252;4.646;4.596;4.547;3.702;2;3781.737;2.744;4.048;5.223;0.455;0.029;-1.169;0.675;0.145;0.024;0.0;1.0
1;0;6223;814;177;406.305;3.309;6.168;4.669;1.36;1.499;0.139;4.653;4.596;4.538;3.309;1;3787.711;2.859;4.026;5.26;0.522;-0.03;-1.153;0.722;0.155;0.025;0.0;1.0
0;0;6219;814;164;409.037;3.896;7.101;5.399;1.504;1.702;0.198;5.398;5.345;5.291;4.533;2;4394.339;3.205;4.752;6.032;0.569;0.019;-1.037;0.754;0.14;0.026;0.0;1.0
0;0;6210;814;173;402.272;3.123;5.878;4.376;1.253;1.502;0.248;4.38;4.328;4.276;3.624;2;3565.561;2.755;3.762;4.905;0.455;0.113;-1.084;0.675;0.154;0.024;0.0;1.0
