id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
1;4;6267;1665;339;821.914;2.486;72.841;4.154;1.668;68.687;2.371;5.661;4.571;4.131;9425.372;70.355;3.297;4.946;36.006;4.614;27.017;6;1.06;0.147
1;4;5833;1665;369;825.033;2.369;36.112;3.463;1.094;32.649;3.242;4.361;3.83;3.58;7260.778;33.743;2.913;4.084;11.676;4.596;24.8;3.417;0.784;0.084
1;2;5403;1665;336;849.354;2.936;25.378;4.224;1.288;21.153;5.738;4.679;4.422;4.265;7790.626;22.441;3.607;4.966;4.601;4.529;25.24;2.145;0.458;0.053
1;2;5584;1665;364;843.385;2.466;27.65;3.486;1.02;24.163;4.051;4.28;3.887;3.679;7126.822;25.183;3.031;4.259;7.45;4.433;23.225;2.73;0.638;0.067
1;2;5382;1665;361;818.77;2.608;31.483;4.029;1.421;27.454;4.922;4.735;4.325;4.088;7883.271;28.875;3.346;4.873;7.984;4.395;24.573;2.826;0.597;0.069
1;2;5697;1665;337;827.828;2.658;41.582;4.182;1.524;37.399;3.915;5.413;4.642;4.273;9013.311;38.923;3.409;5.033;20.706;4.39;23.009;4.55;0.841;0.112
2;4;6134;1665;322;819.497;2.741;31.079;4.064;1.323;27.015;4.668;4.735;4.319;4.103;7883.956;28.337;3.468;4.671;8.763;4.376;22.406;2.96;0.625;0.073
1;4;6689;1665;336;799.592;2.667;54.13;4.169;1.502;49.961;2.919;5.398;4.547;4.167;8987.58;51.463;3.348;4.711;23.44;4.367;24.362;4.841;0.897;0.119
1;4;6342;1665;353;830.569;2.58;59.193;4.144;1.563;55.049;2.762;5.659;4.598;4.162;9421.734;56.612;3.321;4.824;33.093;4.327;22.825;5.753;1.017;0.141
1;4;6122;1665;346;824.887;2.314;48.529;3.756;1.441;44.773;3.119;5.006;4.143;3.773;8335.492;46.215;3.054;4.303;22.794;4.246;21.895;4.774;0.954;0.117
0;2;6060;1665;389;838.805;2.991;31.467;4.611;1.619;26.856;5.686;5.376;4.923;4.661;8950.534;28.475;3.84;5.498;9.961;4.232;21.508;3.156;0.587;0.077
1;2;5490;1665;378;829.963;2.558;25.391;3.89;1.332;21.502;5.833;4.497;4.164;3.972;7487.282;22.834;3.38;4.615;6.018;4.204;20.681;2.453;0.546;0.06
1;2;6046;1665;316;812.136;2.801;56.366;4.588;1.787;51.778;3.337;6.27;5.058;4.558;10438.857;53.565;3.595;5.571;42.255;4.171;19.569;6.5;1.037;0.159
1;4;6443;1665;343;835.743;2.646;52.115;4.333;1.687;47.782;3.411;5.696;4.746;4.334;9484.424;49.469;3.543;4.915;28.128;4.15;20.468;5.304;0.931;0.13
1;4;5598;1665;376;846.266;2.548;17.24;3.928;1.379;13.313;9.388;4.227;4.039;3.91;7038.504;14.692;3.377;4.598;2.667;4.119;22.237;1.633;0.386;0.04
0;4;6204;1665;320;841.728;3;35.094;4.71;1.71;30.384;5.328;5.399;4.978;4.71;8989.412;32.094;3.817;5.582;8.357;4.111;23.752;2.891;0.535;0.071
1;4;6166;1665;337;852.561;2.74;59.661;4.51;1.77;55.151;3.11;6.183;5.068;4.589;10294.927;56.921;3.634;5.627;36.734;4.081;18.815;6.061;0.98;0.149
2;2;6120;1665;310;860.158;3.104;24.19;4.576;1.471;19.615;6.977;5.008;4.77;4.609;8338.578;21.086;3.967;5.373;4.035;4.058;22.357;2.009;0.401;0.049
1;2;6403;1665;356;842.433;2.221;161.077;3.276;1.055;157.801;0.664;9.766;4.964;3.833;16259.875;158.856;2.934;4.818;343.748;4.044;18.47;18.54;1.899;0.454
1;2;5896;1665;333;835.583;2.805;64.666;4.548;1.742;60.119;2.817;6.344;5.071;4.555;10562.182;61.861;3.599;5.451;44.659;4.032;18.249;6.683;1.053;0.164
1;2;6605;1665;304;835.789;2.078;186.913;3.908;1.83;183.005;0.99;11.717;6.124;4.464;19509.323;184.835;3.071;9.617;390.136;4.031;20.844;19.752;1.686;0.484
1;4;5405;1665;346;842.145;2.978;19.98;4.384;1.406;15.596;8.267;4.663;4.482;4.351;7764.427;17.001;3.76;5.135;2.669;3.988;22.496;1.634;0.35;0.04
2;4;5812;1665;328;848.848;3.108;21.054;4.692;1.584;16.362;8.825;4.875;4.719;4.6;8116.272;17.946;3.949;5.349;2.24;3.945;25.779;1.497;0.307;0.037
1;2;5273;1665;355;803.456;2.74;19.66;4.062;1.323;15.598;7.817;4.325;4.167;4.051;7201.419;16.92;3.516;4.748;2.116;3.849;21.636;1.455;0.336;0.036
2;2;6128;1665;316;832.272;3.175;24.781;4.772;1.597;20.009;7.393;5.241;4.969;4.785;8725.543;21.607;4.09;5.592;4.767;3.82;19.461;2.183;0.417;0.054
2;4;6083;1665;303;816.647;2.521;19.519;4.051;1.53;15.468;8.999;4.42;4.17;4.009;7358.568;16.998;3.443;4.62;3.838;3.763;17.411;1.959;0.443;0.048
1;4;6613;1665;343;865.19;2.798;39.495;4.409;1.611;35.086;4.39;5.643;4.8;4.41;9395.263;36.697;3.602;4.984;22.474;3.75;15.828;4.741;0.84;0.116
0;2;6132;1665;361;796.934;2.835;27.338;4.439;1.604;22.899;6.544;5.192;4.767;4.51;8644.823;24.503;3.727;5.296;8.276;3.738;17.35;2.877;0.554;0.071
2;4;6059;1665;330;834.839;2.661;21.227;4.041;1.38;17.186;7.432;4.491;4.203;4.021;7478.31;18.566;3.411;4.645;4.613;3.719;16.93;2.148;0.478;0.053
1;2;6105;1665;323;848.777;2.73;56.741;4.664;1.934;52.076;3.581;6.23;5.163;4.655;10373.32;54.01;3.615;5.762;30.885;3.719;16.558;5.557;0.892;0.136
2;2;5941;1665;313;855.096;3.091;19.654;4.703;1.613;14.95;9.737;4.945;4.767;4.635;8232.647;16.563;4.007;5.407;2.632;3.658;19.62;1.622;0.328;0.04
2;2;5833;1665;327;862.309;2.763;17.185;4.002;1.24;13.183;8.596;4.38;4.197;4.067;7293.074;14.422;3.505;4.766;2.517;3.657;18.202;1.587;0.362;0.039
